% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 x probe attenuation
% Time span 52.20 s, time offset 22.91 s, Precision acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2023-10-23 T 10:24:24 -0400
% Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V)
-4.268169139200e+01, -3.243347e-02, -1.509819e+00
-4.263051430400e+01, -3.255859e-02, -1.510648e+00
-4.257933721600e+01, -3.269778e-02, -1.510319e+00
-4.252816012800e+01, -3.325142e-02, -1.510632e+00
-4.247698304000e+01, -3.331554e-02, -1.510546e+00
-4.242580595200e+01, -3.210504e-02, -1.510937e+00
-4.237462886400e+01, -3.242565e-02, -1.510515e+00
-4.232345177600e+01, -3.265086e-02, -1.509983e+00
-4.227227468800e+01, -3.334682e-02, -1.510398e+00
-4.222109760000e+01, -3.291673e-02, -1.527273e+00
-4.216992051200e+01, -3.276659e-02, -1.549895e+00
-4.211874342400e+01, -3.305593e-02, -1.573112e+00
-4.206756633600e+01, -3.245693e-02, -1.595024e+00
-4.201638924800e+01, -3.222077e-02, -1.617201e+00
-4.196521216000e+01, -3.234589e-02, -1.641614e+00
-4.191403507200e+01, -3.199087e-02, -1.666567e+00
-4.186285798400e+01, -3.241783e-02, -1.688377e+00
-4.181168089600e+01, -3.207219e-02, -1.710718e+00
-4.176050380800e+01, -3.213006e-02, -1.732707e+00
-4.170932672000e+01, -3.218011e-02, -1.755588e+00
-4.165814963200e+01, -3.249446e-02, -1.778602e+00
-4.160697254400e+01, -3.175784e-02, -1.800372e+00
-4.155579545600e+01, -3.229428e-02, -1.822557e+00
