% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 x probe attenuation
% Time span 52.20 s, time offset 24.23 s, Precision acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2023-10-23 T 09:33:54 -0400
% Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V)
-4.538606659200e+01, -2.680978e-02, 1.959725e+00
-4.533091948800e+01, -2.687945e-02, 1.959667e+00
-4.527577238400e+01, -2.714505e-02, 1.959116e+00
-4.522062528000e+01, -2.682285e-02, 1.958688e+00
-4.516547817600e+01, -2.726552e-02, 1.959704e+00
-4.511033107200e+01, -2.691428e-02, 1.959479e+00
-4.505518396800e+01, -2.714650e-02, 1.959007e+00
-4.500003686400e+01, -2.758046e-02, 1.958818e+00
-4.494488976000e+01, -2.726116e-02, 1.958847e+00
-4.488974265600e+01, -2.727132e-02, 1.959602e+00
-4.483459555200e+01, -2.685913e-02, 1.957352e+00
-4.477944844800e+01, -2.697959e-02, 1.934754e+00
-4.472430134400e+01, -2.691138e-02, 1.910125e+00
-4.466915424000e+01, -2.657466e-02, 1.886025e+00
-4.461400713600e+01, -2.704345e-02, 1.861990e+00
-4.455886003200e+01, -2.633083e-02, 1.837795e+00
-4.450371292800e+01, -2.630180e-02, 1.812919e+00
-4.444856582400e+01, -2.623504e-02, 1.788928e+00
-4.439341872000e+01, -2.609716e-02, 1.763928e+00
-4.433827161600e+01, -2.627858e-02, 1.740902e+00
-4.428312451200e+01, -2.600863e-02, 1.715894e+00
-4.422797740800e+01, -2.613925e-02, 1.691852e+00
-4.417283030400e+01, -2.569513e-02, 1.667709e+00
-4.411768320000e+01, -2.590993e-02, 1.643398e+00
-4.406253609600e+01, -2.597815e-02, 1.618377e+00
-4.400738899200e+01, -2.536857e-02, 1.594059e+00
-4.395224188800e+01, -2.594912e-02, 1.569146e+00
-4.389709478400e+01, -2.552241e-02, 1.545634e+00
-4.384194768000e+01, -2.560079e-02, 1.521316e+00
-4.378680057600e+01, -2.555870e-02, 1.495946e+00
-4.373165347200e+01, -2.577786e-02, 1.470844e+00
-4.367650636800e+01, -2.566465e-02, 1.445736e+00
-4.362135926400e+01, -2.512474e-02, 1.421534e+00
-4.356621216000e+01, -2.545855e-02, 1.396969e+00
-4.351106505600e+01, -2.491864e-02, 1.372180e+00
-4.345591795200e+01, -2.500573e-02, 1.347521e+00
-4.340077084800e+01, -2.495638e-02, 1.322666e+00
-4.334562374400e+01, -2.470094e-02, 1.298109e+00
-4.329047664000e+01, -2.467336e-02, 1.274517e+00
-4.323532953600e+01, -2.460224e-02, 1.249916e+00
-4.318018243200e+01, -2.427133e-02, 1.224887e+00
-4.312503532800e+01, -2.393316e-02, 1.198349e+00
-4.306988822400e+01, -2.415377e-02, 1.171716e+00
-4.301474112000e+01, -2.424666e-02, 1.149075e+00
-4.295959401600e+01, -2.352968e-02, 1.131535e+00
-4.290444691200e+01, -2.386640e-02, 1.105338e+00
-4.284929980800e+01, -2.392590e-02, 1.081143e+00
-4.279415270400e+01, -2.326117e-02, 1.056223e+00
