% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 x probe attenuation
% Time span 52.20 s, time offset 26.10 s, Precision acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2023-10-23 T 10:07:08 -0400
% Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V)
-4.247698304000e+01, -2.586482e-02, 1.954274e+00
-4.242580595200e+01, -2.570061e-02, 1.952092e+00
-4.237462886400e+01, -2.557080e-02, 1.932887e+00
-4.232345177600e+01, -2.592582e-02, 1.909967e+00
-4.227227468800e+01, -2.515009e-02, 1.887743e+00
-4.222109760000e+01, -2.525019e-02, 1.865636e+00
-4.216992051200e+01, -2.571781e-02, 1.842153e+00
-4.211874342400e+01, -2.521265e-02, 1.820125e+00
-4.206756633600e+01, -2.518450e-02, 1.798042e+00
-4.201638924800e+01, -2.466057e-02, 1.775724e+00
-4.196521216000e+01, -2.548165e-02, 1.752257e+00
-4.191403507200e+01, -2.505625e-02, 1.731018e+00
-4.186285798400e+01, -2.550980e-02, 1.708137e+00
-4.181168089600e+01, -2.506095e-02, 1.685921e+00
-4.176050380800e+01, -2.491863e-02, 1.663869e+00
-4.170932672000e+01, -2.574283e-02, 1.641481e+00
-4.165814963200e+01, -2.503280e-02, 1.618897e+00
-4.160697254400e+01, -2.499839e-02, 1.596502e+00
-4.155579545600e+01, -2.530805e-02, 1.572964e+00
-4.150461836800e+01, -2.474972e-02, 1.550091e+00
-4.145344128000e+01, -2.491237e-02, 1.528586e+00
-4.140226419200e+01, -2.392551e-02, 1.504931e+00
-4.135108710400e+01, -2.426958e-02, 1.481355e+00
-4.129991001600e+01, -2.430868e-02, 1.459100e+00
-4.124873292800e+01, -2.403655e-02, 1.436227e+00
-4.119755584000e+01, -2.417887e-02, 1.412900e+00
-4.114637875200e+01, -2.433840e-02, 1.390097e+00
-4.109520166400e+01, -2.365494e-02, 1.367655e+00
-4.104402457600e+01, -2.409442e-02, 1.345094e+00
-4.099284748800e+01, -2.353765e-02, 1.322300e+00
-4.094167040000e+01, -2.335623e-02, 1.299028e+00
-4.089049331200e+01, -2.331869e-02, 1.277070e+00
-4.083931622400e+01, -2.292301e-02, 1.254244e+00
-4.078813913600e+01, -2.285576e-02, 1.231559e+00
-4.073696204800e+01, -2.284325e-02, 1.208670e+00
-4.068578496000e+01, -2.222548e-02, 1.186759e+00
-4.063460787200e+01, -2.268059e-02, 1.164222e+00
-4.058343078400e+01, -2.254297e-02, 1.146674e+00
-4.053225369600e+01, -2.200965e-02, 1.128790e+00
-4.048107660800e+01, -2.175629e-02, 1.102891e+00
-4.042989952000e+01, -2.127772e-02, 1.080409e+00
-4.037872243200e+01, -2.118545e-02, 1.058232e+00
-4.032754534400e+01, -2.119014e-02, 1.035789e+00
-4.027636825600e+01, -2.033778e-02, 1.011986e+00
-4.022519116800e+01, -2.074597e-02, 9.894805e-01
-4.017401408000e+01, -1.991394e-02, 9.654423e-01
-4.012283699200e+01, -1.980447e-02, 9.452125e-01
-4.007165990400e+01, -1.950262e-02, 9.224725e-01
-4.002048281600e+01, -1.884419e-02, 9.008741e-01
-3.996930572800e+01, -1.867528e-02, 8.784078e-01
-3.991812864000e+01, -1.855486e-02, 8.558711e-01
-3.986695155200e+01, -1.751795e-02, 8.333891e-01
-3.981577446400e+01, -1.771658e-02, 8.109697e-01
-3.976459737600e+01, -1.693929e-02, 7.876666e-01
-3.971342028800e+01, -1.655142e-02, 7.652550e-01
-3.966224320000e+01, -1.621673e-02, 7.426167e-01
-3.961106611200e+01, -1.594930e-02, 7.199470e-01
-3.955988902400e+01, -1.478727e-02, 6.981845e-01
-3.950871193600e+01, -1.479666e-02, 6.758042e-01
-3.945753484800e+01, -1.439628e-02, 6.533066e-01
-3.940635776000e+01, -1.377539e-02, 6.312781e-01
-3.935518067200e+01, -1.364871e-02, 6.084677e-01
-3.930400358400e+01, -1.319047e-02, 5.848362e-01
-3.925282649600e+01, -1.235375e-02, 5.636289e-01
-3.920164940800e+01, -1.199403e-02, 5.416318e-01
-3.915047232000e+01, -1.068187e-02, 5.196972e-01
-3.909929523200e+01, -1.045822e-02, 4.972934e-01
-3.904811814400e+01, -9.974957e-03, 4.752259e-01
-3.899694105600e+01, -9.058475e-03, 4.508672e-01
-3.894576396800e+01, -8.750374e-03, 4.264459e-01
-3.889458688000e+01, -8.220191e-03, 4.031194e-01
-3.884340979200e+01, -7.492948e-03, 3.800353e-01
-3.879223270400e+01, -6.670303e-03, 3.581476e-01
-3.874105561600e+01, -5.497331e-03, 3.362365e-01
-3.868987852800e+01, -5.229893e-03, 3.128083e-01
-3.863870144000e+01, -4.366585e-03, 2.900370e-01
-3.858752435200e+01, -3.156078e-03, 2.686107e-01
-3.853634726400e+01, -2.549260e-03, 2.455970e-01
-3.848517017600e+01, -1.695336e-03, 2.234904e-01
-3.843399308800e+01, -4.848286e-04, 2.009693e-01
-3.838281600000e+01, 3.284323e-05, 1.778383e-01
-3.833163891200e+01, 1.054111e-03, 1.560601e-01
-3.828046182400e+01, 2.209880e-03, 1.341880e-01
-3.822928473600e+01, 2.951199e-03, 1.117999e-01
-3.817810764800e+01, 3.784791e-03, 8.931012e-02
-3.812693056000e+01, 5.229893e-03, 6.775089e-02
-3.807575347200e+01, 5.683442e-03, 4.433836e-02
-3.802457638400e+01, 6.854851e-03, 2.133246e-02
-3.797339929600e+01, 7.715031e-03, -1.337189e-03
-3.792222220800e+01, 8.586158e-03, -2.435873e-02
-3.787104512000e+01, 9.379087e-03, -4.698146e-02
-3.781986803200e+01, 1.104940e-02, -6.928357e-02
-3.776869094400e+01, 1.218484e-02, -9.340771e-02
-3.771751385600e+01, 1.328743e-02, -1.155847e-01
-3.766633676800e+01, 1.394117e-02, -1.390911e-01
-3.761515968000e+01, 1.549731e-02, -1.610100e-01
-3.756398259200e+01, 1.656081e-02, -1.826084e-01
-3.751280550400e+01, 1.770876e-02, -2.056690e-01
-3.746162841600e+01, 1.962148e-02, -2.275488e-01
-3.741045132800e+01, 2.042849e-02, -2.498119e-01
-3.735927424000e+01, 2.175786e-02, -2.732791e-01
-3.730809715200e+01, 2.365964e-02, -2.954170e-01
-3.725692006400e+01, 2.433840e-02, -3.174533e-01
-3.720574297600e+01, 2.604781e-02, -3.405686e-01
-3.715456588800e+01, 2.740376e-02, -3.634416e-01
-3.710338880000e+01, 2.817011e-02, -3.863146e-01
-3.705221171200e+01, 2.982478e-02, -4.087418e-01
-3.700103462400e+01, 3.136997e-02, -4.299804e-01
-3.694985753600e+01, 3.216447e-02, -4.531818e-01
-3.689868044800e+01, 3.383165e-02, -4.747332e-01
-3.684750336000e+01, 3.503903e-02, -4.965505e-01
-3.679632627200e+01, 3.636840e-02, -5.194000e-01
-3.674514918400e+01, 3.781350e-02, -5.426796e-01
-3.669397209600e+01, 3.894112e-02, -5.639730e-01
-3.664279500800e+01, 4.000618e-02, -5.869476e-01
-3.659161792000e+01, 4.210189e-02, -6.103288e-01
-3.654044083200e+01, 4.323107e-02, -6.323025e-01
-3.648926374400e+01, 4.448068e-02, -6.554726e-01
-3.643808665600e+01, 4.592109e-02, -6.779546e-01
-3.638690956800e+01, 4.711752e-02, -6.997719e-01
-3.633573248000e+01, 4.870494e-02, -7.224885e-01
-3.628455539200e+01, 5.015161e-02, -7.453927e-01
-3.623337830400e+01, 5.128861e-02, -7.682657e-01
-3.618220121600e+01, 5.322949e-02, -7.903801e-01
-3.613102412800e+01, 5.426640e-02, -8.127604e-01
-3.607984704000e+01, 5.606339e-02, -8.354066e-01
-3.602866995200e+01, 5.761484e-02, -8.577791e-01
-3.597749286400e+01, 5.883004e-02, -8.800891e-01
-3.592631577600e+01, 6.025168e-02, -9.027118e-01
-3.587513868800e+01, 6.198768e-02, -9.248497e-01
-3.582396160000e+01, 6.304492e-02, -9.474489e-01
-3.577278451200e+01, 6.456822e-02, -9.696181e-01
