% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 x probe attenuation
% Time span 55.70 s, time offset 27.85 s, Precision acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2022-09-09 T 13:04:18 -0400
% Time (s), Channel A (V), Channel B (V)
0.0000000000e+00, 1.7956286820e-02, 1.9888236700e+00
3.4127280000e-03, 1.5904139755e-02, 1.9911616518e+00
6.8254560000e-03, -1.1140226925e-03, 1.9897764525e+00
1.0238184000e-02, -1.6124012654e-04, 1.9887943536e+00
1.3650912000e-02, 1.3998574623e-03, 1.9891388211e+00
1.7063640000e-02, 7.6222605276e-04, 1.9877829382e+00
2.0476368000e-02, -6.3030231286e-04, 1.9881860386e+00
2.3889096000e-02, -1.0700481125e-03, 1.9899596799e+00
2.7301824000e-02, -9.3812437262e-04, 1.9885158479e+00
3.0714552000e-02, 2.4186018982e-04, 1.9882666586e+00
3.4127280000e-02, 6.0098592621e-04, 1.9860459423e+00
3.7540008000e-02, 8.0620063272e-05, 1.9880467857e+00
4.0952736000e-02, -1.2093009491e-03, 1.9897544652e+00
4.4365464000e-02, -3.6645483306e-05, 1.9885524934e+00
4.7778192000e-02, 6.5961869950e-05, 1.9878928747e+00
5.1190920000e-02, 3.6645483306e-05, 1.9863977390e+00
5.4603648000e-02, -1.3925283656e-04, 1.9887577081e+00
5.8016376000e-02, -3.7378392972e-04, 1.9899670090e+00
6.1429104000e-02, -1.0993644992e-04, 1.9883326205e+00
6.4841832000e-02, 2.1254380317e-04, 1.9876436854e+00
6.8254560000e-02, -3.1515115643e-04, 1.9859360059e+00
7.1667288000e-02, -2.0521470651e-04, 1.9897691234e+00
7.5080016000e-02, -1.0480608225e-03, 1.9893953395e+00
7.8492744000e-02, -3.2248025309e-04, 1.9876510145e+00
8.1905472000e-02, 2.2720199649e-04, 1.9868887884e+00
8.5318200000e-02, -8.2085882605e-04, 1.9859726514e+00
8.8730928000e-02, -4.8372037963e-04, 1.9885964680e+00
9.2143656000e-02, -3.9577121970e-04, 1.9877682800e+00
9.5556384000e-02, 1.5391102988e-04, 1.9873651797e+00
9.8969112000e-02, 1.7296668120e-03, 1.9870866741e+00
1.0238184000e-01, 5.2036586294e-04, 1.9868594721e+00
1.0579456800e-01, -2.9316386644e-04, 1.9887943536e+00
1.0920729600e-01, -1.0993644992e-03, 1.9877829382e+00
1.1262002400e-01, -4.3974579967e-04, 1.9879002038e+00
1.1603275200e-01, 1.3192373990e-04, 1.9870940032e+00
1.1944548000e-01, -6.0831502287e-04, 1.9869913958e+00
1.2285820800e-01, -9.8209895259e-04, 1.9906119695e+00
1.2627093600e-01, 8.0620063272e-05, 1.9886917462e+00
1.2968366400e-01, 1.4658193322e-05, 1.9885818098e+00
1.3309639200e-01, 1.2532755291e-03, 1.9874751162e+00
1.3650912000e-01, -2.8583476978e-04, 1.9889702519e+00
1.3992184800e-01, -1.2019718524e-03, 1.9904214130e+00
1.4333457600e-01, -1.0114153392e-03, 1.9893586940e+00
1.4674730400e-01, 3.0782205977e-04, 1.9884059115e+00
1.5016003200e-01, -1.7589831987e-04, 1.9874384707e+00
1.5357276000e-01, 2.7117657646e-04, 1.9879368493e+00
1.5698548800e-01, -5.2769495960e-04, 1.9899010472e+00
1.6039821600e-01, -4.1775850968e-04, 1.9886844171e+00
1.6381094400e-01, -2.1254380317e-04, 1.9891827957e+00
1.6722367200e-01, -8.6483340601e-04, 1.9869400921e+00
1.7063640000e-01, -1.2679337224e-03, 1.9889555937e+00
1.7404912800e-01, -1.6783631354e-03, 1.9911543227e+00
1.7746185600e-01, -1.0187444359e-03, 1.9895345923e+00
1.8087458400e-01, -8.7949159933e-05, 1.9894979469e+00
1.8428731200e-01, -9.0880798598e-04, 1.9873651797e+00
1.8770004000e-01, -5.2769495960e-04, 1.9898937181e+00
1.9111276800e-01, -1.2532755291e-03, 1.9907438933e+00
1.9452549600e-01, -3.0782205977e-04, 1.9887137335e+00
1.9793822400e-01, 1.5391102988e-04, 1.9890142265e+00
2.0135095200e-01, 7.5489695610e-04, 1.9871159904e+00
2.0476368000e-01, -5.4235315292e-04, 1.9889116191e+00
2.0817640800e-01, -1.3778701723e-03, 1.9890435429e+00
2.1158913600e-01, -3.1515115643e-04, 1.9878562292e+00
2.1500186400e-01, -3.8844212304e-04, 1.9881347349e+00
2.1841459200e-01, -3.8111302638e-04, 1.9861045751e+00
2.2182732000e-01, -1.3705410756e-03, 1.9897984398e+00
2.2524004800e-01, -1.1506681758e-03, 1.9888163409e+00
2.2865277600e-01, -9.0147888932e-04, 1.9883106332e+00
2.3206550400e-01, -1.2459464324e-03, 1.9872845597e+00
2.3547823200e-01, -2.8583476978e-04, 1.9863024607e+00
2.3889096000e-01, -6.8893508615e-04, 1.9903847676e+00
2.4230368800e-01, -4.0310031636e-04, 1.9889116191e+00
2.4571641600e-01, 2.8583476978e-04, 1.9879441784e+00
2.4912914400e-01, -4.1042941302e-04, 1.9867641938e+00
2.5254187200e-01, -4.4707489633e-04, 1.9870720159e+00
2.5595460000e-01, -6.5961869950e-04, 1.9897251489e+00
2.5936732800e-01, -7.6222605276e-04, 1.9882593295e+00
2.6278005600e-01, 6.0098592621e-04, 1.9882666586e+00
2.6619278400e-01, 1.4658193322e-04, 1.9869107757e+00
2.6960551200e-01, -5.1303676628e-04, 1.9871013322e+00
2.7301824000e-01, -7.4756785943e-04, 1.9897691234e+00
2.7643096800e-01, -9.9675714591e-04, 1.9875997108e+00
2.7984369600e-01, -1.0114153392e-03, 1.9873651797e+00
2.8325642400e-01, -2.6384747980e-04, 1.9868594721e+00
2.8666915200e-01, -6.1564411953e-04, 1.9876510145e+00
2.9008188000e-01, -1.0920354025e-03, 1.9905386786e+00
2.9349460800e-01, -6.5228960284e-04, 1.9894979469e+00
2.9690733600e-01, 1.3192373990e-04, 1.9884132405e+00
3.0032006400e-01, 3.0782205977e-04, 1.9863610935e+00
3.0373279200e-01, -2.4186018982e-04, 1.9876510145e+00
3.0714552000e-01, -1.0627190159e-03, 1.9905020331e+00
3.1055824800e-01, -4.8372037963e-04, 1.9890948465e+00
3.1397097600e-01, -4.2508760635e-04, 1.9894173268e+00
3.1738370400e-01, -1.2899210124e-03, 1.9874164834e+00
3.2079643200e-01, -9.1613708264e-04, 1.9884132405e+00
3.2420916000e-01, -1.0114153392e-03, 1.9901575656e+00
3.2762188800e-01, -5.9365682955e-04, 1.9884352278e+00
3.3103461600e-01, 4.6173308965e-04, 1.9870500286e+00
3.3444734400e-01, -8.5017521269e-04, 1.9860092968e+00
3.3786007200e-01, -8.5750430935e-04, 1.9885451643e+00
3.4127280000e-01, -6.0831502287e-04, 1.9893586940e+00
3.4468552800e-01, 2.7117657646e-04, 1.9892780740e+00
3.4809825600e-01, 5.9365682955e-04, 1.9886990753e+00
3.5151098400e-01, 1.9055651319e-04, 1.9872699015e+00
3.5492371200e-01, -7.1825147279e-04, 1.9894832887e+00
3.5833644000e-01, -2.7850567312e-04, 1.9899303636e+00
3.6174916800e-01, -1.1726554658e-04, 1.9894173268e+00
3.6516189600e-01, -4.6173308965e-04, 1.9895052760e+00
3.6857462400e-01, -1.1213517892e-03, 1.9866689155e+00
3.7198735200e-01, -1.7589831987e-03, 1.9896518579e+00
3.7540008000e-01, -1.6490467488e-03, 1.9891827957e+00
3.7881280800e-01, -6.5228960284e-04, 1.9875923817e+00
3.8222553600e-01, 1.0993644992e-03, 1.9873578506e+00
3.8563826400e-01, -1.0700481125e-03, 1.9861558788e+00
3.8905099200e-01, -1.1946427558e-03, 1.9889702519e+00
3.9246372000e-01, -1.3778701723e-03, 1.9878049255e+00
3.9587644800e-01, -1.0993644992e-04, 1.9880028111e+00
3.9928917600e-01, 3.8844212304e-04, 1.9862584861e+00
4.0270190400e-01, -3.8111302638e-04, 1.9865516500e+00
4.0611463200e-01, -1.9348815185e-03, 1.9885011897e+00
4.0952736000e-01, -1.7369959087e-03, 1.9883839242e+00
4.1294008800e-01, -9.0147888932e-04, 1.9873065470e+00
4.1635281600e-01, -6.8893508615e-04, 1.9865589791e+00
4.1976554400e-01, -1.2019718524e-03, 1.9858627149e+00
4.2317827200e-01, -1.2239591424e-03, 1.9886844171e+00
4.2659100000e-01, -1.3412246890e-03, 1.9873944961e+00
4.3000372800e-01, 2.1987289983e-05, 1.9871672941e+00
4.3341645600e-01, 3.0782205977e-04, 1.9859506641e+00
4.3682918400e-01, -1.4218447523e-03, 1.9866542574e+00
4.4024191200e-01, -1.9935142918e-03, 1.9881274058e+00
4.4365464000e-01, -8.0620063272e-04, 1.9868961175e+00
4.4706736800e-01, -3.3713844641e-04, 1.9873212051e+00
4.5048009600e-01, -5.7166953957e-04, 1.9857161330e+00
